"Index number","City","State","River","Jam date","Water year","Jam type","Latitude","Longitude","Gage number","Ahps id","Current condition","Damages"
"20200114212411","Soldotna","AK","Kenai River","01/05/2020","2020","Freeze-up","-151.120753","60.507023","-","SXRA2","released","flooding in the Riverside Drive Subdivision"
"20200114212120","Pembine","WI","Menominee River","01/09/2020","2020","Freeze-up","-87.786944","45.579444","-","PBIW3","released","No flooding reported"
"20200402144022","Neche","ND","Pembina River","03/31/2020","2020","Breakup","-97.556667","48.989722","-","-","released","-"
"20200402143718","Grand Forks","ND","Turtle River","03/31/2020","2020","Breakup","-97.185629","48.03045","-","-","released","-"
"20200311175256","Glasgow","MT","Willow Creek","03/03/2020","2020","Breakup","-106.609493","48.149566","-","-","released","-"
"20200311175116","Glendive","MT","Yellowstone River","03/02/2020","2020","Breakup","-104.7184","47.105888","-","GLNM8","released","-"
"20200311174907","New Ulm","MN","Minnesota River","03/04/2020","2020","Breakup","-93.960083","44.307444","-","NULM5","released","-"
"20200107210104","Bismarck","ND","Missouri River","01/01/2020","2020","Break-up: no flooding","-100.823325","46.811981","-","BIWN8","released","-"
"20200107205051","Willow","AK","Willow Creek","12/26/2019","2020","Frozen in place","-150.050069","61.764375","-","-","released","-"
"20200107204018","Great Falls","MT","Missouri River","12/31/2019","2020","Released","-111.313333","47.506944","-","GFSM8","released","-"
"20200107203708","Oconto","WI","Oconto River","12/30/2019","2020","Break-up: no flooding","-87.983889","44.860556","-","OCTW3","released","Minor flooding of roads and residences was reported."
"20200107203027","Lewellen","NE","North Platte River","12/31/2019","2020","Break-up: no flooding","-102.125556","41.316944","-","LEWN1","released","-"
"20200512195505","Buckland","AK","Buckland River","05/09/2020","2020","Breakup","-161.127522","65.980518","-","-","released","-"
"20200512195256","Bishop Rock","AK","Yukon River","05/07/2020","2020","Breakup","-157.385139","64.813834","-","GYRA2","released","-"
"20200114212750","Swanton","VT","Missisquoi River","01/12/2020","2020","Freeze-up","-73.147665","44.94538","-","SWAV1","released","-"
"20200602191747","Deadhorse","AK","Kuparuk River","05/31/2020","2020","Breakup","-149.005903","70.329847","-","-","released","-"
"20200505205945","McGrath","AK","Kuskokwim River","05/03/2020","2020","Breakup","-155.58892","62.92823","-","-","released","-"
